,Times,MoIs,a,b,c
0,212360616000.0,1.0033900783345576e+18,5000.0,4999.36260048241,2500.0
1,212360619600.0,1.0034710786792718e+18,5000.022502004284,4999.573167936915,2499.851839335285
2,212360623200.0,1.0036036818018748e+18,5000.24814874226,4999.636271320062,2499.6118595486287
3,212360626800.0,1.0037700840998335e+18,5000.569139685631,4999.764985404209,2499.316904015602
4,212360630400.0,1.0039590155569386e+18,5000.9290114956075,4999.900135373783,2498.989463114657
5,212360634000.0,1.004163191788046e+18,5001.358775046534,5000.025302075785,2498.6429390884605
6,212360637600.0,1.0043778230590186e+18,5001.911202320899,4999.994446794768,2498.285232811725
7,212360641200.0,1.0045997122671425e+18,5002.481970781298,4999.954083347976,2497.920979611322
8,212360644800.0,1.0048266966608667e+18,5003.065550730954,4999.9061662520635,2497.552893041287
9,212360648400.0,1.0050572957159172e+18,5003.658169734218,4999.852379697196,2497.182559931219
10,212360652000.0,1.005290485258923e+18,5004.257228835616,4999.794103057593,2496.8109076165015
11,212360655600.0,1.0055255502996352e+18,5004.860921792571,4999.732430550229,2496.438477725671
12,212360659200.0,1.0057619877426668e+18,5005.467983574669,4999.6682117102,2496.0655864146065
13,212360662800.0,1.0059994412006877e+18,5006.07752223594,4999.602096182798,2495.6924180901597
14,212360666400.0,1.0062376567742819e+18,5006.688905249088,4999.534575313318,2495.3190802102317
15,212360670000.0,1.0064764527184545e+18,5007.301681862653,4999.466017683931,2494.9456353125283
16,212360673600.0,1.0067156984261874e+18,5007.915529558391,4999.396698068032,2494.572119727471
17,212360677200.0,1.0069552997373773e+18,5008.530216797608,4999.326820326235,2494.1985545103475
18,212360680800.0,1.0071951885896412e+18,5009.145576891948,4999.256535150017,2493.8249518282432
19,212360684400.0,1.007435315680594e+18,5009.761489560541,4999.185953610226,2493.4513186883146
20,212360688000.0,1.0076756452378767e+18,5010.377867853561,4999.115157384757,2493.077659108319
21,212360691600.0,1.0079161512744234e+18,5010.994648840321,4999.04420641765,2492.703975376778
22,212360695200.0,1.0081568148955551e+18,5011.611786938748,4998.973144629237,2492.3302687854134
23,212360698800.0,1.0083976223552063e+18,5012.229249108799,4998.902004161348,2491.9565400563997
24,212360702400.0,1.008638563649859e+18,5012.847011384309,4998.83080851864,2491.5827895897323
25,212360706000.0,1.008879631500575e+18,5013.4650563798305,4998.759574876986,2491.209017602449
26,212360709600.0,1.0091208206148764e+18,5014.083371499144,4998.68831577275,2490.835224205617
27,212360713200.0,1.0093621271494034e+18,5014.701947633659,4998.6170403434735,2490.461409449958
28,212360716800.0,1.0096035483171933e+18,5015.320778204042,4998.5457552441485,2490.0875733563507
29,212360720400.0,1.0098450821011231e+18,5015.939858459625,4998.474465319751,2489.713715935139
30,212360868000.0,1.0190247317392513e+18,5039.48827111539,4996.359229328151,2475.1304479169257
31,212360868000.0,1.0190247317392513e+18,5039.48827111539,4996.359229328151,2475.1304479169257
32,212360871600.0,1.0192692135136703e+18,5040.110701658163,4996.29124383645,2474.758141895205
33,212360875200.0,1.0195142506402067e+18,5040.7351172088465,4996.222713156831,2474.3848414868453
34,212360878800.0,1.019759682073283e+18,5041.361018170606,4996.153668194893,2474.010949295138
35,212360882400.0,1.020005409028097e+18,5041.988033289326,4996.084190155585,2473.6367021517176
36,212360886000.0,1.0202513689063535e+18,5042.615902010469,4996.0143643805295,2473.262238144185
37,212360889600.0,1.0204975214019711e+18,5043.2444437055265,4995.944267010094,2472.8876381432556
38,212360893200.0,1.0207438401873018e+18,5043.873533054525,4995.87396148965,2472.512949580981
39,212360896800.0,1.0209903078330038e+18,5044.503082673546,4995.803498712996,2472.138200300902
40,212360900400.0,1.02123691265647e+18,5045.133031254616,4995.732918520743,2471.763406665982
41,212360904000.0,1.0214836467398307e+18,5045.763335532816,4995.662251571186,2471.388578306469
42,212360907600.0,1.0217305046662181e+18,5046.39396483141,4995.59152115595,2471.013720899167
43,212360911200.0,1.0219774827015177e+18,5047.024897318725,4995.520744798243,2470.6388377970447
44,212360914800.0,1.022224578256091e+18,5047.656117405581,4995.4499355891085,2470.263930987792
45,212360918400.0,1.0224717895265441e+18,5048.287613925659,4995.379103260883,2469.8890016568075
46,212360922000.0,1.0227191152557568e+18,5048.919378869463,4995.308255018872,2469.5140505145046
47,212360925600.0,1.0229665545705693e+18,5049.5514065024945,4995.237396172215,2469.139077985907
48,212360929200.0,1.0232141068694241e+18,5050.183692734868,4995.166530614135,2468.764084324274
49,212360932800.0,1.023461771742646e+18,5050.816234656105,4995.0956611909405,2468.3890696831636
50,212360936400.0,1.0237095489160918e+18,5051.4490301964315,4995.024789979719,2468.0140341613387
51,212360940000.0,1.0239574382126807e+18,5052.082077895458,4994.953918487229,2467.638977826732
52,212360943600.0,1.0242054395263653e+18,5052.715376748451,4994.883047790505,2467.2639007271246
53,212360947200.0,1.0244535528031753e+18,5053.348926091016,4994.812178645135,2466.888802896637
54,212360950800.0,1.0247017780261939e+18,5053.9827254995935,4994.741311576526,2466.513684362321
55,212360954400.0,1.0249501152044174e+18,5054.616774713118,4994.670446951799,2466.138545148472
56,212360958000.0,1.0251985643659878e+18,5055.251073587735,4994.599585025683,2465.763385275787
57,212360961600.0,1.0254471255543785e+18,5055.8856220766975,4994.528725965546,2465.388204758016
58,212360965200.0,1.0256957988249405e+18,5056.520420211756,4994.457869870491,2465.013003602015
59,212360968800.0,1.0259445842406849e+18,5057.155468074366,4994.387016792673,2464.637781812892
60,212360972400.0,1.0261934818687734e+18,5057.790765769689,4994.316166754657,2464.262539399403
61,212361120000.0,1.0363442754288649e+18,5083.677411819047,4991.530059012103,2448.901079225567
