,Times,MoIs,a,b,c
0,212360616000.0,3.9445740469706616e+16,1000.0,2496.4478004665348,5500.0
1,212360644573.2,3.944904461772528e+16,999.9664131089911,2496.577704145993,5499.869042045045
2,212360673146.4,3.945267806467036e+16,999.9337281890604,2496.720156430208,5499.713037832749
3,212361044598.0,3.949885907936167e+16,999.5075845710231,2498.5312598706964,5497.761740635559
4,212361044598.0,3.949885907936167e+16,999.5075845710231,2498.5312598706964,5497.761740635559
5,212361073171.2,3.950256358553556e+16,999.4754078353166,2498.67622609635,5497.600069620481
6,212361101744.4,3.950627111243518e+16,999.4432418160144,2498.8212958829617,5497.438203400092
7,212361473196.0,3.9554473148560056e+16,999.0250323796904,2500.7069839020264,5495.334496333085
8,212361473196.0,3.9554473148560056e+16,999.0250323796904,2500.7069839020264,5495.334496333085
9,212361501769.2,3.955819392060928e+16,998.9927959261181,2500.8524115370983,5495.172462899722
10,212361530342.4,3.956191612795598e+16,998.9605507761642,2500.99788424851,5495.010393504284
11,212361873220.8,3.960659048498069e+16,998.5736163306246,2502.743523219757,5493.065618321789
12,212361873220.8,3.960659048498069e+16,998.5736163306246,2502.743523219757,5493.065618321789
13,212361901794.0,3.961032474543564e+16,998.5413016555661,2502.8893180448213,5492.903424898642
14,212361930367.2,3.9614060400235544e+16,998.5089784028238,2503.035156222099,5492.741198359718
15,212362273245.6,3.965889632647779e+16,998.1211060048647,2504.785186512762,5490.7945293777875
16,212362273245.6,3.965889632647779e+16,998.1211060048647,2504.785186512762,5490.7945293777875
17,212362301818.8,3.966264409105192e+16,998.0887130093153,2504.9313478084864,5490.632178984508
18,212362330392.0,3.9666393257670376e+16,998.0563114051668,2505.077552643856,5490.46979536489
19,212362673270.4,3.97113913774795e+16,997.6674988399855,2506.8319826790603,5488.521241560604
20,212362673270.4,3.97113913774795e+16,997.6674988399855,2506.8319826790603,5488.521241560604
21,212362701843.6,3.9715152718404216e+16,997.63502733417,2506.978511924378,5488.358733592395
22,212362730416.8,3.971891546932508e+16,997.6025471910252,2507.1250849051326,5488.196192267273
23,212363044722.0,3.97603126968344e+16,997.2452712469398,2508.7373646659266,5486.40828158112
24,212363044722.0,3.97603126968344e+16,997.2452712469398,2508.7373646659266,5486.40828158112
25,212363073295.2,3.9764086756193656e+16,997.2127264221336,2508.8842387373165,5486.245624247536
26,212363101868.4,3.976786219333933e+16,997.1801732095294,2509.031155150165,5486.082935428905
27,212363416173.6,3.980939912235603e+16,996.8220925078906,2510.647217017827,5484.293397488986
28,212363416173.6,3.980939912235603e+16,996.8220925078906,2510.647217017827,5484.293397488986
29,212363444746.8,3.98131859187502e+16,996.7894744439748,2510.7944354408774,5484.130592680209
30,212363473320.0,3.981697410005308e+16,996.7568479650769,2510.94169637693,5483.967756284055
31,212363759052.0,3.9854861957070344e+16,996.4305868419318,2512.4142916735595,5482.339426058723
32,212363759052.0,3.9854861957070344e+16,996.4305868419318,2512.4142916735595,5482.339426058723
33,212363787625.2,3.9858660614109576e+16,996.3979007756968,2512.5618309459846,5482.17648214786
34,212363816198.4,3.986246062267805e+16,996.365206549692,2512.709411302818,5482.013508551536
35,212364101930.4,3.990046688668408e+16,996.0382670438592,2514.1852047837697,5480.383801954066
36,212364101930.4,3.990046688668408e+16,996.0382670438592,2514.1852047837697,5480.383801954066
37,212364130503.6,3.9904277413742184e+16,996.0055130809934,2514.3330642329165,5480.220720926125
38,212364159076.8,3.990808929876057e+16,995.9727509341495,2514.4809649191084,5480.057610125044
39,212364444808.8,3.994621436108814e+16,995.6451322452126,2515.9599616342744,5478.4265315535495
40,212364444808.8,3.994621436108814e+16,995.6451322452126,2515.9599616342744,5478.4265315535495
41,212364473382.0,3.9950036813013544e+16,995.6123102442742,2516.1081423767255,5478.2633129504675
42,212364501955.2,3.99538606295052e+16,995.5794800366125,2516.2563645145988,5478.100064473004
43,212364759114.0,3.998828018845564e+16,995.284010051724,2517.590357838851,5476.630852767301
44,212364759114.0,3.998828018845564e+16,995.284010051724,2517.590357838851,5476.630852767301
45,212364787687.2,3.9992113667734344e+16,995.2511253056792,2517.7388359477227,5476.467505114334
46,212364816260.4,3.999594847688741e+16,995.2182326146727,2517.8873539840592,5476.304129523448
47,212365073419.2,4.0030467086884984e+16,994.9221994507975,2519.2240139885616,5474.833769886804
48,212365073419.2,4.0030467086884984e+16,994.9221994507975,2519.2240139885616,5474.833769886804
49,212365101992.4,4.003431159422474e+16,994.8892520902516,2519.3727886018714,5474.670295263881
50,212365130565.6,4.0038157437226936e+16,994.8562967632947,2519.521603277739,5474.506792628826
51,212365387724.4,4.007277537857265e+16,994.5596998928002,2520.860933014684,5473.03528963559
52,212365387724.4,4.007277537857265e+16,994.5596998928002,2520.860933014684,5473.03528963559
53,212365416297.6,4.007663096085088e+16,994.5266897975486,2521.0100050833425,5472.871687654687
54,212365444870.8,4.008048788474956e+16,994.4936717159229,2521.1591173552983,5472.708057573876
55,212365673456.4,4.011134770927825e+16,994.2295273241887,2522.3520170227694,5471.39903327257
56,212365673456.4,4.011134770927825e+16,994.2295273241887,2522.3520170227694,5471.39903327257
57,212365702029.6,4.011521344895984e+16,994.196459837607,2522.501362216763,5471.2353126163125
58,212365730602.8,4.0119080494301624e+16,994.1633846325936,2522.6507461085725,5471.071565829167
59,212365959188.4,4.015002139076005e+16,993.8987825123791,2523.8458219225004,5469.761604448819
60,212365959188.4,4.015002139076005e+16,993.8987825123791,2523.8458219225004,5469.761604448819
61,212365987761.6,4.015389728036233e+16,993.8656577881839,2523.995439202124,5469.59776728616
62,212366016334.8,4.015777448077398e+16,993.8325253267507,2524.1450952976006,5469.433903931166
63,212366244920.4,4.018879663840272e+16,993.5674651653735,2525.3423487452155,5468.123010023824
64,212366244920.4,4.018879663840272e+16,993.5674651653735,2525.3423487452155,5468.123010023824
65,212366273493.6,4.019268271727227e+16,993.5342831030231,2525.49223890597,5467.959056032346
66,212366302066.8,4.019657011226587e+16,993.5010932861334,2525.6421680061862,5467.795075773512
67,212366502079.2,4.0223785596390104e+16,993.2687633763314,2526.691679813159,5466.647223009141
68,212366502079.2,4.0223785596390104e+16,993.2687633763314,2526.691679813159,5466.647223009141
69,212366530652.4,4.0227680928350536e+16,993.235529365606,2526.841818151215,5466.483161017449
70,212366559225.6,4.0231577539258744e+16,993.2022878740723,2526.9919938877997,5466.319074757753
71,212366759238.0,4.025885761898095e+16,992.9695955923037,2528.043234908097,5465.170477060786
72,212366759238.0,4.025885761898095e+16,992.9695955923037,2528.043234908097,5465.170477060786
73,212366787811.2,4.026276218890391e+16,992.9363098081282,2528.193620218893,5465.0063093202925
74,212366816384.4,4.026666804229399e+16,992.9030165268446,2528.34404302981,5464.842117262318
75,212367016396.8,4.029401283488645e+16,992.6699617217844,2529.3970135947047,5463.692778974975
76,212367016396.8,4.029401283488645e+16,992.6699617217844,2529.3970135947047,5463.692778974975
77,212367044970.0,4.0297926675093256e+16,992.636624081606,2529.547646529736,5463.528505223936
78,212367073543.2,4.030184180344804e+16,992.6032789295385,2529.6983170720027,5463.364207092334
79,212367244982.4,4.032533564793138e+16,992.4032055528185,2530.602354197921,5462.378421047467
80,212367244982.4,4.032533564793138e+16,992.4032055528185,2530.602354197921,5462.378421047467
81,212367273555.6,4.0329257805094664e+16,992.3698214886917,2530.7532097106764,5462.214050248349
82,212367302128.8,4.033318121207368e+16,992.3364301917696,2530.9041012565554,5462.0496570959795
83,212367473568.0,4.035672479680882e+16,992.1360793924198,2531.8094667134824,5461.063298519971
84,212367473568.0,4.035672479680882e+16,992.1360793924198,2531.8094667134824,5461.063298519971
85,212367502141.2,4.0360655248765256e+16,992.1026490984646,2531.96054344859,5460.8988329995345
86,212367530714.4,4.036458695444028e+16,992.0692115577624,2532.111656302714,5460.734345087443
87,212367702153.6,4.0388180342661816e+16,991.8685832968132,2533.0183496462137,5459.747417938674
88,212367702153.6,4.0388180342661816e+16,991.8685832968132,2533.0183496462137,5459.747417938674
89,212367730726.8,4.039211911527566e+16,991.8351067066898,2533.1696481236795,5459.582857490405
90,212367759300.0,4.039605914566988e+16,991.8016228573935,2533.320982811553,5459.418274598424
91,212367930739.2,4.041970249340114e+16,991.600716744107,2534.229007188774,5458.4307775716425
92,212367930739.2,4.041970249340114e+16,991.600716744107,2534.229007188774,5458.4307775716425
93,212367959312.4,4.0423649612827976e+16,991.5671937931069,2534.3805279371268,5458.266121971508
94,212367987885.6,4.042759799411809e+16,991.533663570461,2534.532084987749,5458.101443875223
95,212368159324.8,4.045129145846811e+16,991.3324792162784,2535.4414435727817,5457.113375624014
96,212368159324.8,4.045129145846811e+16,991.3324792162784,2535.4414435727817,5457.113375624014
97,212368187898.0,4.04552469509924e+16,991.2989098393518,2535.593187123137,5456.948624646473
98,212368216471.2,4.045920370948444e+16,991.2653331782404,2535.7449670681053,5456.783851119993
99,212368359337.2,4.047899002427801e+16,991.0974463204207,2536.503885615961,5455.959980955879
100,212368359337.2,4.047899002427801e+16,991.0974463204207,2536.503885615961,5455.959980955879
101,212368387910.4,4.048295291504576e+16,991.0638360015055,2536.6558264956075,5455.795143726367
