,Times,MoIs,a,b,c
0,212360616000.0,3.9445740469706616e+16,1000.0,2496.4478004665348,5500.0
1,212360644573.2,3.944904461772528e+16,999.9664131089911,2496.577704145993,5499.869042045045
2,212360673146.4,3.945267806467036e+16,999.9337281890604,2496.720156430208,5499.713037832749
3,212361387476.4,3.954137067625365e+16,999.1136522278416,2500.1980273940253,5495.971133144008
4,212361387476.4,3.954137067625365e+16,999.1136522278416,2500.1980273940253,5495.971133144008
5,212361416049.6,3.954508567900237e+16,999.0814139208726,2500.3432726327337,5495.809360478197
6,212361444622.8,3.954880415853324e+16,999.0491832164606,2500.488639508809,5495.647369674809
7,212362101806.4,3.963434494242972e+16,998.3078097112002,2503.8315282674275,5491.922765710892
8,212362101806.4,3.963434494242972e+16,998.3078097112002,2503.8315282674275,5491.922765710892
9,212362130379.6,3.963808594286524e+16,998.2754554395334,2503.977499577707,5491.760514797778
10,212362158952.8,3.964182878179059e+16,998.2430897228463,2504.1235318545296,5491.598207874958
11,212362787563.2,3.972419463978345e+16,997.5310838677278,2507.336056386651,5488.027689102586
12,212362787563.2,3.972419463978345e+16,997.5310838677278,2507.336056386651,5488.027689102586
13,212362816136.4,3.972795892888277e+16,997.4985951175325,2507.482659657409,5487.865164956047
14,212362844709.6,3.973172502518962e+16,997.4660949945722,2507.629322439932,5487.702587438188
15,212363416173.6,3.9807066619824936e+16,996.816127193919,2510.562422074931,5484.451233023526
16,212363416173.6,3.9807066619824936e+16,996.816127193919,2510.562422074931,5484.451233023526
17,212363444746.8,3.981085248796938e+16,996.7835142594397,2510.709610156423,5484.288455167742
18,212363473320.0,3.9814640100334296e+16,996.7508904351539,2510.8568550271157,5484.12562761301
19,212364016210.8,3.988662301761604e+16,996.1310669460889,2513.6543765989736,5481.032071208658
20,212364016210.8,3.988662301761604e+16,996.1310669460889,2513.6543765989736,5481.032071208658
21,212364044784.0,3.9890429616305816e+16,996.0983352411042,2513.80212486077,5480.869051863225
22,212364073357.2,3.989423793410737e+16,996.0655928611709,2513.949928709688,5480.705984555633
23,212364587674.8,3.996280438313743e+16,995.4762557666646,2516.6102828320495,5477.7709218658365
24,212364587674.8,3.996280438313743e+16,995.4762557666646,2516.6102828320495,5477.7709218658365
25,212364616248.0,3.9966630886097016e+16,995.4434105225081,2516.758567941835,5477.607671027726
26,212364644821.2,3.997045908187319e+16,995.4105548264307,2516.9069074016784,5477.44437398657
27,212365130565.6,4.003555363576994e+16,994.8520304461291,2519.4285781949625,5474.668455732876
28,212365130565.6,4.003555363576994e+16,994.8520304461291,2519.4285781949625,5474.668455732876
29,212365159138.8,4.00393991952928e+16,994.81907695339,2519.577376378584,5474.50498357385
30,212365187712.0,4.004324642004186e+16,994.7861132381875,2519.726227636402,5474.341467004939
31,212365616310.0,4.010096691577168e+16,994.2916751820118,2521.9589186254325,5471.8888245246735
32,212365616310.0,4.010096691577168e+16,994.2916751820118,2521.9589186254325,5471.8888245246735
33,212365644883.2,4.010482970082634e+16,994.2586242382023,2522.1081804389255,5471.725150467177
34,212365673456.4,4.010869408035455e+16,994.2255635950784,2522.2574923691072,5471.5614358783505
35,212366073481.2,4.016280636857905e+16,993.7627279995627,2524.3478009055884,5469.2695157534745
36,212366073481.2,4.016280636857905e+16,993.7627279995627,2524.3478009055884,5469.2695157534745
37,212366102054.4,4.016668543087198e+16,993.7295852865288,2524.49749963546,5469.105652933949
38,212366130627.6,4.0170566056418056e+16,993.6964331184688,2524.6472470999956,5468.941751475571
39,212366502079.2,4.0221023917027304e+16,993.2654657145368,2526.593917760399,5466.811102876083
40,212366502079.2,4.0221023917027304e+16,993.2654657145368,2526.593917760399,5466.811102876083
41,212366530652.4,4.022491833619205e+16,993.2322367095616,2526.7440281348404,5466.647062118019
42,212366559225.6,4.02288142863519e+16,993.1989985009335,2526.894185832865,5466.482984629393
43,212366930677.2,4.027947157743582e+16,992.7669113638991,2528.8461949186144,5464.350041629654
44,212366930677.2,4.027947157743582e+16,992.7669113638991,2528.8461949186144,5464.350041629654
45,212366959250.4,4.028338139579945e+16,992.7335960959736,2528.9967168987378,5464.185824697828
46,212366987823.6,4.028729275453777e+16,992.7002715886961,2529.147286431191,5464.021570890847
47,212367330702.0,4.033423767059737e+16,992.3003858850079,2530.9540855023724,5462.050583038527
48,212367330702.0,4.033423767059737e+16,992.3003858850079,2530.9540855023724,5462.050583038527
49,212367359275.2,4.033816199273637e+16,992.2669896364921,2531.104995215793,5461.886198411824
50,212367387848.4,4.0342087821776936e+16,992.2335844082587,2531.25595103518,5461.721778840126
51,212367702153.6,4.038527944134223e+16,991.8661329882304,2532.916440210131,5459.913209618284
52,212367702153.6,4.038527944134223e+16,991.8661329882304,2532.916440210131,5459.913209618284
53,212367730726.8,4.03892173079587e+16,991.8326613408384,2533.067711593456,5459.748668429379
54,212367759300.0,4.039315664675948e+16,991.7991809768162,2533.2190275999665,5459.584094265048
55,212368045032.0,4.0432556501517784e+16,991.4643813250694,2534.7321724479384,5457.938387909492
56,212368045032.0,4.0432556501517784e+16,991.4643813250694,2534.7321724479384,5457.938387909492
57,212368073605.2,4.043650693756235e+16,991.4308398979854,2534.8837791142814,5457.773701442347
58,212368102178.4,4.04404588100071e+16,991.3972900221025,2535.0354288910885,5457.608983994062
59,212368359337.2,4.047603117577559e+16,991.0953432170948,2536.4002703885644,5456.1265525131175
60,212368359337.2,4.047603117577559e+16,991.0953432170948,2536.4002703885644,5456.1265525131175
61,212368387910.4,4.047999319163402e+16,991.0617376661154,2536.5521856549535,5455.961732177899
62,212368416483.6,4.0483956607087016e+16,991.0281239386325,2536.7041424907434,5455.796882878882
63,212368673642.4,4.051963298460196e+16,990.7256016087199,2538.0717512952015,5454.313260657999
64,212368673642.4,4.051963298460196e+16,990.7256016087199,2538.0717512952015,5454.313260657999
65,212368702215.6,4.052360658146088e+16,990.6919320688387,2538.223974267971,5454.148308608669
66,212368730788.8,4.0527581584153864e+16,990.6582543297367,2538.376238954955,5453.983327514869
67,212368959374.4,4.055938627309453e+16,990.3888327944292,2539.5943577488983,5452.663495683214
68,212368959374.4,4.055938627309453e+16,990.3888327944292,2539.5943577488983,5452.663495683214
69,212368987947.6,4.056337049269099e+16,990.3551047020293,2539.7468632973228,5452.498420902138
70,212369016520.8,4.056735608031628e+16,990.3213686894128,2539.899408991806,5452.3333191072
71,212369216533.2,4.059525907293675e+16,990.0852154557542,2540.9672370312214,5451.177615876226
72,212369216533.2,4.059525907293675e+16,990.0852154557542,2540.9672370312214,5451.177615876226
73,212369245106.4,4.0599252895690696e+16,990.0514345427233,2541.1199978698314,5451.012430013969
74,212369273679.6,4.060324804760441e+16,990.0176459906743,2541.2727972564035,5450.847219201461
75,212369473692.0,4.063121807860792e+16,989.781124312803,2542.342404008106,5449.690749816857
76,212369473692.0,4.063121807860792e+16,989.781124312803,2542.342404008106,5449.690749816857
77,212369502265.2,4.063522148937899e+16,989.747290752831,2542.4954189107043,5449.52545517654
78,212369530838.4,4.0639226234197464e+16,989.7134495359834,2542.64847247238,5449.360135528601
79,212369702277.6,4.066325789617587e+16,989.5103997758317,2543.5668079801494,5448.368220462845
80,212369702277.6,4.066325789617587e+16,989.5103997758317,2543.5668079801494,5448.368220462845
81,212369730850.8,4.0667269910278696e+16,989.4765190666361,2543.7200512960158,5448.202826228377
82,212369759424.0,4.0671283218731976e+16,989.4426309871587,2543.873331652035,5448.037409057017
83,212369930863.2,4.0695366334029336e+16,989.2392994805075,2544.793030315657,5447.044906378259
84,212369930863.2,4.0695366334029336e+16,989.2392994805075,2544.793030315657,5447.044906378259
85,212369959436.4,4.069938692982903e+16,989.205371809315,2544.946500696876,5446.8794148886345
86,212369988009.6,4.07034088243524e+16,989.1714367511355,2545.100008218494,5446.713900410249
87,212370130875.6,4.072352088854605e+16,989.0017578845998,2545.86756496971,5445.886325434856
88,212370130875.6,4.072352088854605e+16,989.0017578845998,2545.86756496971,5445.886325434856
89,212370159448.8,4.0727549068829e+16,988.9677887743254,2546.0212365284306,5445.720745956301
90,212370188022.0,4.0731578507334984e+16,988.9338125659817,2546.174943588788,5445.555145574591
91,212370330888.0,4.0751728347077416e+16,988.7639274793983,2546.943499942311,5444.7271391581735
92,212370330888.0,4.0751728347077416e+16,988.7639274793983,2546.943499942311,5444.7271391581735
93,212370359461.2,4.075576408494389e+16,988.7299171193018,2547.0973712438,5444.561474053566
94,212370388034.4,4.075980108510889e+16,988.6958996435609,2547.251278144613,5444.3957879912805
95,212370530900.4,4.077998874193511e+16,988.5258082122607,2548.0208337633403,5443.567353138263
96,212370530900.4,4.077998874193511e+16,988.5258082122607,2548.0208337633403,5443.567353138263
97,212370559473.6,4.078403206259933e+16,988.4917565003898,2548.1749053906497,5443.401602103335
98,212370588046.8,4.078807665023797e+16,988.4576976529523,2548.3290127373807,5443.235830025011
99,212370702339.6,4.080425708705425e+16,988.321457758472,2548.9454653867,5442.572734786433
100,212370702339.6,4.080425708705425e+16,988.321457758472,2548.9454653867,5442.572734786433
101,212370730912.8,4.080830698208265e+16,988.2873702219035,2549.0997112901737,5442.406907078103
